Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Test Type,Description,Job Levels,Languages,Assessment Length,Download Link
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,B,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Director, Executive, Manager,",,,https://service.shl.com/docs/Executive Scenarios Narrative Report English International.pdf
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,B,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Director, Executive, Manager,",,,https://service.shl.com/docs/Executive Scenarios - Profile English International.pdf
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,Yes,No,K,"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 7,https://service.shl.com/docs/ExpressJS (New).pdf
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,Yes,No,K,This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.,"Entry-Level,","English (USA),",Approximate Completion Time in minutes = 3,https://service.shl.com/docs/Fact Sheet_Filing_Names.pdf
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,Yes,No,K,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 3,https://service.shl.com/docs/Fact Sheet_Filing_Numbers.pdf
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,Yes,No,K,"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",Approximate Completion Time in minutes = 9,https://service.shl.com/docs/Financial Accounting (New).pdf
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,K,"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",Approximate Completion Time in minutes = 9,https://service.shl.com/docs/Financial and Banking Services (New).pdf
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,https://service.shl.com/docs/Fire Engineering (New).pdf
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,K,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English International,",Approximate Completion Time in minutes = 8,https://service.shl.com/docs/Fact Sheet_Following_Instructions_UKE.pdf
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,Yes,No,K,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8,https://service.shl.com/docs/Fact Sheet_Following_Instructions.pdf
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,Yes,No,K,"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",Approximate Completion Time in minutes = 7,https://service.shl.com/docs/Food and Beverage Services (New).pdf
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,Yes,No,K,"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 6,https://service.shl.com/docs/Food Science (New).pdf
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,Yes,No,K,Multi-choice test that measures the knowledge of front office operations.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 7,https://service.shl.com/docs/Front Office Management (New).pdf
Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,K,"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8,https://service.shl.com/docs/Fundamentals of Chemistry (New).pdf
Fundamentals of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,K,"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8,https://service.shl.com/docs/Fundamentals of Physics (New).pdf
General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,Yes,No,K,"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,https://service.shl.com/docs/General Diseases (New).pdf
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.","Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate,","English (USA),",Approximate Completion Time in minutes = 10,https://service.shl.com/docs/Geoinformatics Engineering (New).pdf
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.","Mid-Professional, Professional Individual Contributor, Graduate,","English (USA),",Approximate Completion Time in minutes = 8,https://service.shl.com/docs/Geoscience Engineering (New).pdf
GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,Yes,No,K,Multi-choice test that measures the knowledge of how to use GIT for version control.,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 13,https://service.shl.com/docs/GIT (New).pdf
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Yes,No,"C, K",The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.,,"Indonesian, Italian, Swedish, Thai, Portuguese (Brazil), French (Canada), Chinese Simplified, Danish, Finnish, French, German, English International, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Romanian, Spanish, Vietnamese, Chinese Traditional, Arabic, English (USA), Dutch, Portuguese, Turkish,",Approximate Completion Time in minutes = 16,https://service.shl.com/docs/GSA Product Fact Sheet USE.pdf
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,Yes,No,B,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Graduate Scenarios Narrative Report:  A participant focused report that contains;  
 - Graduate Scenarios profile
 - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management.

Graduate Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Manager, Mid-Professional, Professional Individual Contributor, Graduate,","English International,",Approximate Completion Time in minutes = Untimed,https://service.shl.com/docs/Graduate Scenarios Fact Sheet.pdf
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,B,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Mid-Professional, Professional Individual Contributor, Manager, Graduate,",,,https://service.shl.com/docs/Graduate Scenarios Narrative Report Std v2.0 English International.pdf
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,B,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Graduate, Manager, Mid-Professional, Professional Individual Contributor,",,,https://service.shl.com/docs/Graduate Scenarios Profile Std v2.0 English International.pdf
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,https://service.shl.com/docs/Hibernate (New).pdf
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,Yes,Yes,K,"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup.","Front Line Manager, Manager,","English (USA),",Approximate Completion Time in minutes = 15 to 35,https://service.shl.com/docs/BB_Fact_Sheet_HIPAA_Security.pdf
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"C, P","Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development.",,,,https://service.shl.com/docs/High-Potential Assessment Report Std v2.0 English International.pdf
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,"C, P","Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success.",,,,https://service.shl.com/docs/High-Potential Assessment Report 2.0 International English (2).pdf
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,C,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential.",,,,https://service.shl.com/docs/Unlocking Potential Report 2.0 International English.pdf
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,K,"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.","Entry-Level, Front Line Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 7,https://service.shl.com/docs/Housekeeping (New).pdf
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,K,Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 12,https://service.shl.com/docs/HTML_CSS (New).pdf
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,No,K,Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 11,https://service.shl.com/docs/HTML5 (New).pdf
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,Yes,No,K,"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",Approximate Completion Time in minutes = 8,https://service.shl.com/docs/Human Resources (New).pdf
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 15,https://service.shl.com/docs/IBM DataStage (New).pdf
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,K,"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 13,https://service.shl.com/docs/IBM Sterling Order Management System (New).pdf
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9,https://service.shl.com/docs/Industrial Engineering (New).pdf
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,K,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,https://service.shl.com/docs/Informatica (Architecture) (New).pdf
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,K,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 11,https://service.shl.com/docs/Informatica (Developer) (New).pdf
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 12,https://service.shl.com/docs/Instrumentation Engineering (New).pdf
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,Yes,Yes,K,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 15 to 35,https://service.shl.com/docs/BB_Fact_Sheet_InterpersonalCommunications.pdf
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,K,"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews.","Front Line Manager, Manager,","English (USA),",Approximate Completion Time in minutes = 15 to 35,https://service.shl.com/docs/BB_Fact_Sheet_InterviewingandHiringConceptsUS.pdf
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 7,https://service.shl.com/docs/iOS Development (New).pdf
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,K,"Multi-choice test that measures the knowledge of capacity management, change management and problem management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",Approximate Completion Time in minutes = 8,https://service.shl.com/docs/ITIL (Information Technology Infrastructure Library) (New).pdf
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,K,"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business Component Development, J2EE 1.4 Architecture, JAX 1.2, JDBC 3.0, Supporting API, Web Component Development, and Web Service Development.","Entry-Level, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 30,https://service.shl.com/docs/BB_Fact_Sheet_J2EE1.4 Fundamentals.pdf
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 18,https://service.shl.com/docs/Java 8 (New).pdf
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,Yes,No,K,Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,https://service.shl.com/docs/Java Design Patterns (New).pdf
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,Yes,No,K,"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 17,https://service.shl.com/docs/Java Frameworks (New).pdf
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,K,"The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this test includes the following topics: Commonly-Used APIs, Component Technology, Database Access, JEE Application Architecture, JSP Extensions, Resource Management, Web Services, Webapp Control and View Technologies, and Webapp Technology.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 30,
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,Yes,No,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8,https://service.shl.com/docs/Java Web Services (New).pdf
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,Yes,No,K,Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9,https://service.shl.com/docs/JavaScript (New).pdf
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 6,https://service.shl.com/docs/Jenkins (New).pdf
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,Yes,No,K,"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,https://service.shl.com/docs/Job Control Language (New).pdf
jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,Yes,No,K,"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,https://service.shl.com/docs/jQuery (New).pdf
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,Yes,No,K,"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 6,https://service.shl.com/docs/Kubernetes (New).pdf
Linux Administration (New),https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,Yes,No,K,Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,https://service.shl.com/docs/Linux Administration (New).pdf
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,Yes,No,K,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.","Entry-Level, General Population, Graduate, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 15,https://service.shl.com/docs/Linux Operating System US English.pdf
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,Yes,Yes,K,"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 25,https://service.shl.com/docs/BB_Fact_Sheet_LinuxProgrammingGeneral.pdf
Load Runner (New),https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 6,https://service.shl.com/docs/LoadRunner (New).pdf
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,Yes,No,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","Italian, English International, Korean, Arabic,",Approximate Completion Time in minutes = Untimed,https://service.shl.com/docs/Management Scenarios Fact Sheet.pdf
